from,to,similarity
657,793,0.90267
878,1164,0.90236
597,1091,0.91382
131,835,0.9032
1054,1063,0.91539
170,357,0.9194
612,1115,0.90224
515,1144,0.92457
196,773,0.92226
465,659,0.94413
827,834,0.9119
553,1139,0.91009
369,1011,0.91881
232,753,0.90278
484,719,0.95856
1111,1160,0.93283
464,1072,0.90069
250,486,0.9052
674,753,0.90893
54,1082,0.96509
355,391,0.91976
615,1183,0.95415
53,61,0.90505
458,838,0.91193
340,1070,0.9082
118,181,0.9069
490,1151,0.9209
741,818,0.90927
611,709,0.91949
414,584,0.92433
20,774,0.92814
241,512,0.90237
1110,1121,0.91844
35,872,0.90363
119,661,0.90004
660,944,0.90329
978,1163,0.91102
252,976,0.90419
397,440,1.0
812,1138,0.9296
358,643,0.91919
593,665,0.91957
662,909,0.90452
305,307,0.92976
148,838,0.92316
563,876,0.91623
887,901,0.95048
935,1178,0.92441
458,1138,0.91083
687,776,0.90504
143,1183,0.96738
838,870,0.97237
588,1109,0.91425
559,1055,0.90954
551,553,0.90375
148,405,0.90596
630,761,0.90263
181,795,0.91557
785,1039,0.92415
79,778,0.94395
570,1039,0.9113
313,572,0.90439
406,687,0.91837
493,1076,0.90642
787,862,0.90982
551,598,0.91463
622,710,0.90584
610,968,1.0
33,705,0.90022
202,988,0.9418
741,990,0.93486
150,383,0.90691
700,985,0.97724
59,61,0.92189
569,878,0.92787
586,749,0.93186
406,1075,0.94185
660,1022,0.90382
424,490,0.92555
598,1138,0.91533
817,1127,0.96058
415,870,0.90789
86,285,0.93365
247,1120,0.90043
420,877,0.90956
870,993,0.91924
52,688,0.90875
405,593,0.93368
78,315,0.94061
317,980,0.90959
432,1107,0.90425
982,1039,0.92134
629,717,0.90621
217,1003,0.91353
85,309,0.9142
422,934,0.9247
430,582,0.94051
372,415,0.90552
731,823,0.99999
135,305,0.90894
837,1138,0.91207
458,874,0.90099
54,56,0.95388
410,1056,0.99964
273,1036,0.91961
665,821,0.92651
669,808,0.91116
309,366,0.91491
23,118,0.9158
150,324,0.94078
457,919,0.90137
467,526,0.91162
552,1105,0.91209
34,754,0.91038
43,79,0.91482
813,980,0.90555
1071,1095,0.93896
305,896,0.9038
314,685,0.9265
846,1059,0.92551
423,458,0.90514
286,482,0.90147
117,548,0.90208
307,1091,0.90608
582,891,0.93158
273,392,0.9328
189,993,0.91898
613,1044,0.91775
570,712,0.93874
52,449,0.92567
101,366,0.90159
574,665,0.90538
682,878,0.91261
21,1035,0.92113
431,794,0.90747
148,762,0.94375
328,731,0.90944
667,1138,0.90843
82,436,0.90602
406,828,0.95443
415,838,0.90657
341,1176,0.9039
561,1100,0.91558
1012,1108,0.90627
113,404,0.91983
693,1055,0.99136
69,1088,1.0
773,828,0.94724
490,1112,0.90766
671,723,0.92962
198,554,0.96439
598,717,0.93903
404,569,0.90131
878,1105,0.9136
247,1039,0.93756
634,976,0.91402
520,1069,0.91131
56,1082,0.95174
148,835,0.91899
725,1119,0.90465
19,488,0.92985
570,634,0.9021
820,871,0.92608
314,826,0.90754
884,930,0.90096
311,564,0.91005
507,748,0.91421
712,868,0.90931
759,785,0.9031
406,588,0.90045
552,923,0.93275
510,788,0.90147
851,1119,0.92445
748,1097,1.0
128,721,0.94009
264,460,0.91236
827,1160,0.94012
145,460,0.90883
190,1138,0.90339
785,1144,0.90204
430,891,0.91036
674,728,0.90786
258,474,0.90906
56,742,0.90551
99,1144,0.92926
264,1085,0.90944
263,754,0.91706
384,961,0.93557
981,1083,1.0
767,887,0.93193
551,592,0.92786
618,1166,0.91394
354,756,0.90012
232,752,0.90347
186,829,0.92451
647,835,0.90629
63,1030,0.91123
279,280,0.91042
47,1184,0.93159
34,857,0.91702
784,1039,0.94963
163,1004,0.91455
1006,1071,0.90569
207,525,0.90293
23,436,0.91895
674,752,0.90026
237,753,0.91672
590,912,0.93953
493,703,0.92653
574,746,0.90545
250,1004,0.98344
148,874,0.94483
103,572,0.90578
372,1127,0.90591
428,1151,0.97248
219,260,0.93116
394,436,0.9044
509,1030,0.90424
615,1026,0.94524
878,1007,0.9309
625,837,0.9287
380,574,0.93051
210,287,0.90957
148,876,0.91713
148,372,0.9538
590,764,0.90311
1018,1165,0.91594
305,1120,0.9056
170,171,0.91613
485,634,0.90632
416,418,0.94037
292,485,0.94839
348,1119,0.91599
615,797,0.92343
799,1117,0.9425
323,754,0.90697
324,570,0.90309
902,1059,0.90396
19,283,0.90566
515,1045,0.90607
578,1105,0.90259
828,1152,0.90032
86,766,0.91029
182,363,0.92449
431,1036,0.92135
532,846,0.92794
768,816,0.90276
923,1138,0.90969
79,1087,0.90579
738,1149,0.91949
494,549,0.90398
252,784,0.94618
588,687,0.91709
304,816,0.92537
817,1106,0.91389
405,746,0.91078
579,961,0.91205
50,249,0.95368
401,741,0.90319
296,780,0.91025
552,717,0.91178
820,945,0.90073
73,662,0.92411
949,1010,0.90419
851,1069,0.90193
15,114,0.90752
874,882,0.93857
787,1039,0.93727
10,357,0.91867
92,143,0.92354
252,253,0.92531
490,817,0.93275
451,558,0.90389
162,285,0.90712
449,1045,0.90318
254,501,0.9288
746,810,0.91849
189,809,0.94046
773,1075,0.95268
214,358,0.92491
7,617,0.9563
415,625,0.90028
502,1080,0.91951
36,939,0.94216
209,946,0.9068
795,1036,0.90908
423,490,0.92838
170,1121,0.90207
305,570,0.91082
1167,1168,0.99279
622,657,0.90783
451,1058,0.90034
148,807,0.91096
343,887,0.95051
607,817,0.90098
626,627,0.97495
821,1158,0.91317
435,489,0.9188
26,363,0.93242
102,754,0.92484
598,993,0.90646
741,887,0.94141
74,99,0.91172
1051,1073,0.90368
393,758,0.91902
264,903,0.90266
521,991,0.94474
250,1031,0.90548
305,634,0.9316
436,795,0.92896
145,879,0.90026
443,471,0.90245
133,747,0.91159
163,486,0.90761
405,821,0.91343
7,1136,0.92604
348,520,0.91599
1052,1163,0.90546
402,612,0.91344
551,552,0.93147
550,827,0.94586
476,1069,0.91471
636,665,0.90039
236,509,0.91669
785,1085,0.90758
60,596,0.92975
119,788,0.91917
405,665,0.94465
426,978,0.95472
657,1140,0.90379
238,1027,0.90931
561,992,0.90231
1037,1157,0.90729
101,309,0.91462
1177,1178,1.0
144,442,0.92777
348,880,0.92485
500,904,1.0
919,1157,0.91043
182,689,0.91582
880,1069,0.91183
119,276,0.91097
117,276,0.9363
343,990,0.94687
716,842,0.90074
762,1151,0.91333
13,465,0.90736
474,653,0.92042
78,983,0.94176
762,812,0.90638
258,1189,1.0
217,908,0.90235
22,120,0.90854
780,1157,0.90417
817,878,0.92709
762,837,0.9003
27,656,0.90548
703,708,0.95305
835,1138,0.91687
826,1159,0.9175
629,714,0.90603
741,901,0.96117
16,706,0.94385
493,1026,0.9122
181,431,0.91736
426,648,0.90639
1004,1031,0.90851
21,295,0.92115
358,662,0.90752
634,1012,0.90531
341,440,0.93181
592,1007,0.91106
729,777,0.91002
482,501,0.94213
667,993,0.90528
125,784,0.97032
295,1035,1.0
159,451,0.90983
636,1106,0.91845
128,262,0.92212
7,589,0.90926
669,1023,0.91826
346,1119,0.90263
142,799,0.94161
262,572,0.90419
428,490,0.93274
687,1185,1.0
846,1160,0.90833
1075,1109,0.90134
449,515,0.94529
189,1007,0.93248
238,860,0.90722
980,1059,0.95891
276,788,0.94301
912,913,0.90522
56,357,0.90689
375,817,0.9306
125,1039,0.93839
311,905,0.91005
253,787,0.92444
420,699,0.90968
100,857,0.91581
395,1149,0.92807
923,993,0.90477
672,1023,0.90051
667,878,0.92988
168,592,0.92694
993,1105,0.90399
1014,1155,0.9158
73,291,0.92012
128,1178,0.91066
545,847,0.91037
470,974,0.99998
61,460,0.90149
887,891,0.92649
574,1151,0.97246
762,835,0.92695
342,365,0.90483
1069,1159,0.90164
181,394,0.90688
163,1031,0.90539
809,878,0.90558
628,791,0.91425
426,1052,0.93117
887,990,0.97997
716,1168,0.91036
1167,1170,0.93208
949,1012,0.90612
120,351,0.93338
372,625,0.93334
721,1177,0.91443
287,1180,0.90547
45,517,0.99998
553,923,0.92005
54,954,0.91376
553,1007,0.93415
305,976,0.90161
281,754,0.91524
542,690,0.91583
34,102,0.90748
362,1028,0.9061
634,712,0.90249
671,749,0.9274
458,870,0.91904
495,823,0.9035
613,951,0.90167
485,1012,0.91299
552,1138,0.94792
867,990,0.90298
247,766,0.90332
622,860,0.90431
1007,1164,0.92888
110,598,0.91745
532,827,0.94051
646,647,0.96138
714,1164,0.91505
573,1173,0.92774
459,1138,0.9043
862,1180,0.92284
81,181,0.90392
707,775,0.94857
101,270,0.92042
636,902,0.92497
10,263,0.90623
426,1163,0.91479
57,461,0.90911
372,874,0.91062
862,1039,0.94642
878,1127,0.91106
618,1179,0.92131
196,746,0.90128
82,431,0.96737
125,982,0.91743
181,794,0.91559
838,923,0.90644
248,272,0.92561
462,613,0.91526
428,607,0.90101
61,245,0.90454
900,1098,0.90143
146,244,0.9213
43,879,0.92469
964,1029,0.95958
343,891,0.93938
636,1160,0.91546
118,436,0.91795
281,309,0.90338
323,496,0.90089
714,782,0.91375
490,966,0.91356
306,754,0.90125
172,461,0.90003
385,1018,0.92814
532,813,0.9056
574,870,0.90519
217,327,0.93012
237,760,0.91097
942,1029,0.90463
784,862,0.92783
65,719,0.9112
752,753,0.97966
114,517,0.92331
553,809,0.90415
532,1160,0.93773
596,865,0.90065
617,1026,0.94147
1029,1069,0.90775
378,905,0.92749
1069,1119,0.91125
32,688,0.94116
404,592,0.97707
672,1019,0.96737
11,1114,0.91239
762,817,0.91731
81,794,0.91237
125,252,0.94846
380,817,0.9306
